"Timestamp","1. Age","2. Gender","3. What is your favorite clothing store?","4. Rate the following about your preferred clothing store. [Prices of clothes]","4. Rate the following about your preferred clothing store. [Quality of clothes]","4. Rate the following about your preferred clothing store. [Convenience in shopping]","4. Rate the following about your preferred clothing store. [Stock availability]","4. Rate the following about your preferred clothing store. [Customer Care]","5. How often do you visit clothing stores?","6. Do the other related clothing accessories (for example: hats, shoes, slippers, belts, gloves & scarves etc.) available in your preferred clothing store?","7. Are you satisfied with refund policy of your preferred clothing store?","8. Do you think the prices offered by the clothing store always equate to better quality of the clothes?  ","9. Do you find the staff members at the clothing stores friendly, helpful and informative?","10. Do you have to wait in long queues at the cashier?","11. Are the clothing items properly organized under separate categories in your preferred clothing store?","12. Are there enough fitting rooms available at the clothing store?","13. Are there elevators available at the clothing store for the convenience of the customers?","14. Does the preferred clothing store provide special offers, promotions and discounts for the customers?","15. Does the preferred clothing store provide credit/debit card payment methods?"
"2018/08/02 8:18:06 PM GMT+5:30","19","Male","Cool Planet","Good","Good","Good","Good","Excellent","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 8:25:20 PM GMT+5:30","19","Male","Supul","Unacceptable","Good","Good","Fair","Excellent","Twice a year","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 8:28:41 PM GMT+5:30","19","Male","Supul","Fair","Good","Good","Fair","Good","Once a year","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 9:54:06 PM GMT+5:30","20","Male","Thilakawardene","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"2018/08/02 9:55:00 PM GMT+5:30","21","Male","Supul","Good","Good","Fair","Fair","Fair","Thrice a year","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"2018/08/02 9:55:00 PM GMT+5:30","21","Male","Cool Planet","Excellent","Excellent","Excellent","Excellent","Excellent","Once a year","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/02 9:57:14 PM GMT+5:30","21","Male","Supul","Good","Good","Good","Good","Excellent","Once a year","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No"
"2018/08/02 9:57:52 PM GMT+5:30","20","Male","Odel","Good","Excellent","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 9:58:55 PM GMT+5:30","21","Male","Thilakawardene","Excellent","Excellent","Excellent","Excellent","Excellent","Once a month","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 9:59:36 PM GMT+5:30","20","Male","Odel","Excellent","Excellent","Excellent","Excellent","Excellent","Twice a year","No","No","No","Yes","Yes","Yes","No","No","No","Yes"
"2018/08/02 10:00:05 PM GMT+5:30","20","Male","Cool Planet","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/02 10:03:43 PM GMT+5:30","21","Male","Supul","Fair","Good","Good","Fair","Good","Once a month","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes"
"2018/08/02 10:08:47 PM GMT+5:30","19","Male","Odel","Excellent","Excellent","Excellent","Excellent","Excellent","Once a month","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 10:09:46 PM GMT+5:30","21","Female","Thilakawardene","Excellent","Excellent","Good","Good","Good","Once a month","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"2018/08/02 10:10:10 PM GMT+5:30","19","Male","Thilakawardene","Excellent","Excellent","Excellent","Excellent","Excellent","Thrice a year","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"2018/08/02 10:11:40 PM GMT+5:30","20","Male","Odel","Good","Excellent","Excellent","Excellent","Excellent","Once a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 10:13:10 PM GMT+5:30","19","Male","Odel","Good","Excellent","Good","Good","Excellent","Once a month","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/02 10:13:35 PM GMT+5:30","21","Male","Thilakawardene","Excellent","Excellent","Excellent","Excellent","Excellent","Once a month","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 10:14:20 PM GMT+5:30","20","Male","Odel","Good","Excellent","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 10:14:53 PM GMT+5:30","21","Female","Odel","Good","Good","Fair","Excellent","Excellent","Once a month","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"2018/08/02 10:17:26 PM GMT+5:30","20","Male","Thilakawardene","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"2018/08/02 10:28:41 PM GMT+5:30","20","Male","Cool Planet","Fair","Good","Excellent","Excellent","Excellent","Thrice a year","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 10:31:33 PM GMT+5:30","21","Male","Thilakawardene","Good","Good","Good","Excellent","Excellent","Once a year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 10:35:54 PM GMT+5:30","20","Male","Fashion Bug","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"2018/08/02 10:58:05 PM GMT+5:30","20","Male","Fashion Bug","Good","Good","Good","Good","Good","Once a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 11:28:23 PM GMT+5:30","20","Male","Thilakawardene","Excellent","Good","Good","Good","Fair","Once a month","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 1:27:55 AM GMT+5:30","21","Female","Supul","Excellent","Good","Good","Good","Fair","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"2018/08/03 3:38:04 AM GMT+5:30","21","Male","Fashion Bug","Excellent","Excellent","Excellent","Good","Excellent","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/03 5:15:37 AM GMT+5:30","22","Male","Fashion Bug","Fair","Good","Excellent","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/03 7:58:43 AM GMT+5:30","20","Male","Odel","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 8:41:21 AM GMT+5:30","21","Male","Thilakawardene","Good","Good","Good","Excellent","Good","Thrice a year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"2018/08/03 2:25:02 PM GMT+5:30","21","Female","Spring & Summer","Fair","Excellent","Good","Unacceptable","Good","Once a month","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes"
"2018/08/03 2:27:49 PM GMT+5:30","22","Female","Cool Planet","Good","Good","Good","Good","Good","Once a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 2:29:35 PM GMT+5:30","22","Female","Cool Planet","Good","Good","Good","Good","Good","Once a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 2:33:33 PM GMT+5:30","20","Male","Thilakawardene","Good","Excellent","Good","Excellent","Excellent","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 2:39:57 PM GMT+5:30","20","Male","Thilakawardene","Excellent","Excellent","Excellent","Excellent","Excellent","Twice a year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 2:43:17 PM GMT+5:30","21","Male","Supul","Good","Excellent","Excellent","Good","Unacceptable","Thrice a year","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes"
"2018/08/03 3:32:30 PM GMT+5:30","21","Male","Fashion Bug","Good","Good","Good","Good","Good","Once a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 3:39:26 PM GMT+5:30","21","Male","Thilakawardene","Excellent","Excellent","Excellent","Excellent","Excellent","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 4:09:43 PM GMT+5:30","19","Male","Odel","Good","Good","Fair","Fair","Good","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 5:16:43 PM GMT+5:30","20","Female","Spring & Summer","Excellent","Good","Good","Excellent","Excellent","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 6:33:37 PM GMT+5:30","21","Female","Thilakawardene","Unacceptable","Fair","Fair","Fair","Fair","Thrice a year","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 6:35:58 PM GMT+5:30","22","Male","Fashion Bug","Fair","Good","Good","Fair","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/03 6:37:58 PM GMT+5:30","22","Male","Fashion Bug","Fair","Good","Excellent","Fair","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/03 6:49:28 PM GMT+5:30","21","Male","Odel","Excellent","Good","Fair","Unacceptable","Unacceptable","Twice a year","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"2018/08/03 6:51:30 PM GMT+5:30","21","Female","Cool Planet","Good","Good","Good","Good","Good","Once a year","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes"
"2018/08/03 6:53:53 PM GMT+5:30","20","Male","Odel","Excellent","Excellent","Excellent","Excellent","Excellent","Thrice a year","Yes","Yes","No","No","Yes","No","No","No","Yes","No"
"2018/08/03 7:24:58 PM GMT+5:30","22","Female","Spring & Summer","Good","Excellent","Good","Excellent","Good","Twice a year","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes"
"2018/08/03 8:14:19 PM GMT+5:30","21","Male","Thilakawardene","Excellent","Good","Good","Good","Good","Once a month","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 8:56:49 PM GMT+5:30","20","Male","Supul","Fair","Good","Fair","Good","Good","Once a year","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes"
"2018/08/03 10:54:54 PM GMT+5:30","21","Male","Fashion Bug","Good","Excellent","Good","Good","Good","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/03 11:11:47 PM GMT+5:30","21","Male","Odel","Excellent","Excellent","Excellent","Excellent","Excellent","Twice a year","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes"
"2018/08/03 11:26:42 PM GMT+5:30","20","Male","Fashion Bug","Good","Excellent","Good","Excellent","Excellent","Twice a year","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"2018/08/04 12:57:55 AM GMT+5:30","21","Female","Cool Planet","Good","Excellent","Excellent","Excellent","Excellent","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/04 11:38:06 AM GMT+5:30","22","Male","Cool Planet","Excellent","Excellent","Good","Good","Good","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/04 12:06:42 PM GMT+5:30","20","Male","Cool Planet","Good","Good","Good","Excellent","Good","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/04 12:18:36 PM GMT+5:30","19","Female","Cool Planet","Fair","Good","Good","Excellent","Good","Once a month","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"2018/08/04 4:03:11 PM GMT+5:30","20","Female","Cool Planet","Good","Excellent","Excellent","Good","Good","Once a month","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes"
"2018/08/04 8:52:34 PM GMT+5:30","21","Male","Supul","Good","Good","Excellent","Good","Excellent","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/04 10:03:26 PM GMT+5:30","22","Female","Thilakawardene","Good","Good","Good","Good","Good","Twice a year","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes"
"2018/08/05 9:30:27 AM GMT+5:30","20","Female","Spring & Summer","Excellent","Good","Good","Unacceptable","Unacceptable","Thrice a year","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes"
"2018/08/05 10:45:41 AM GMT+5:30","20","Male","Cool Planet","Excellent","Excellent","Excellent","Excellent","Excellent","Thrice a year","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"2018/08/25 2:19:26 PM GMT+5:30","20","Male","Fashion Bug","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"2018/08/25 5:11:56 PM GMT+5:30","18","Male","Fashion Bug","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"